Id,Client,Product name,On hand,Pos,Asin,Retailer sku
53fc2dda3bae3ec585000076,Hastings,PSV SYSTEM BORDERLANDS 2 BNDL,43,5,71171905067,HARDWARE
53fc2dda3bae3ec585000075,Hastings,PS4 SONY GOLD WRLS HEADSET,245,7,71171910029,ACCESSORIES
53fc2dda3bae3ec585000074,Hastings,PSV MEMORY CARD 16GB,3,0,71171922040,ACCESSORIES
53fc2dda3bae3ec585000073,Hastings,PSV UNCHARTED GOLDEN ABYSS,0,1,71171922026,SONY PSP GAMES
53fc2dda3bae3ec585000072,Hastings,PSV LITTLE BIG PLANET,134,4,71171922018,SONY PSP GAMES
53fc2dda3bae3ec585000071,Hastings,PSV SLY COOPER COLLECTION,0,0,71171905077,SONY PSP GAMES
53fc2dda3bae3ec585000070,Hastings,PSV SYSTEM WIFI MADDEN 13 BNDL,6,1,71171922145,HARDWARE
53fc2dda3bae3ec58500006f,Hastings,PS3 SYSTEM 12GB,16,-1,71171999242,HARDWARE
53fc2dda3bae3ec58500006e,Hastings,PS3 DS3 BLUE INFAMOUS 1&2 BNDL,0,0,71171999115,ACCESSORIES
53fc2dda3bae3ec58500006d,Hastings,PSV GAME CARD HOLDER,6,36,71171922046,ACCESSORIES
53fc2dda3bae3ec58500006c,Hastings,PSV USB CABLE,63,109,71171922035,ACCESSORIES
53fc2dda3bae3ec58500006b,Hastings,PS4 SONY DUALSHOCK 4,605,54,71171910037,ACCESSORIES
53fc2dda3bae3ec58500006a,Hastings,PSV SCREEN PROTECTOR 2PK,151,37,71171922044,ACCESSORIES
53fc2dda3bae3ec585000069,Hastings,PS3 MOTION CONTROLLER,268,2,71171999022,ACCESSORIES
53fc2dda3bae3ec585000068,Hastings,PS3 SONY EYE TOY,70,0,71171999028,ACCESSORIES
53fc2dda3bae3ec585000067,Hastings,PS2 NCAA FINAL FOUR 2004,-1,0,71171972782,SONY GAMES
53fc2dda3bae3ec585000066,Hastings,PS3 RESISTANCE 2,1,0,71171981202,SONY PS3
53fc2dda3bae3ec585000065,Hastings,PSV SLY COOPER THIEVES IN TIME,87,1,71171922130,SONY PSP GAMES
53fc2dda3bae3ec585000064,Hastings,PS3 BEYOND TWO SOULS,517,5,71171998298,SONY PS3
53fc2dda3bae3ec585000063,Hastings,PS3 SYSTEM SLIM 320GB MOVE BND,3,0,71171983110,HARDWARE
